"Deaths by age and sex (Annual-Dec)","","",""
"","","Male","Female"
" ","72 years",306,255
" ","73 years",363,234
" ","74 years",354,264
" ","75 years",354,291
" ","76 years",375,312
" ","77 years",294,273
" ","78 years",339,285
" ","79 years",330,285
" ","80 years",309,294
" ","81 years",237,231
" ","82 years",225,246
" ","83 years",231,216
" ","84 years",234,207
" ","85 years",201,174
" ","86 years",171,195
" ","87 years",138,162
" ","88 years",108,150
" ","89 years",75,126
" ","90 years",69,93
" ","91 years",42,54
" ","92 years",48,48
" ","93 years",33,45
" ","94 years",18,24
" ","95 years",18,21
" ","96 years",12,21
" ","97 years",9,6
" ","98 years",6,6
" ","99 years",6,0
" ","100 years and over",6,6
" ","Median age at death",70.0,72.7
1957,"Total all ages",11667,9195
" ","Neonatal",510,348
" ","Post-neonatal",312,252
" ","Infant",822,597
" ","1-4 years",168,126
" ","5-9 years",90,48
" ","10-14 years",51,54
" ","15-19 years",117,48
" ","20-24 years",135,48
" ","25-29 years",123,66
" ","30-34 years",159,75
" ","35-39 years",147,123
" ","40-44 years",219,165
" ","45-49 years",372,264
" ","50-54 years",507,324
" ","55-59 years",720,438
" ","60-64 years",930,630
" ","65-69 years",1329,906
" ","70-74 years",1695,1245
" ","75-79 years",1779,1452
" ","80-84 years",1308,1317
" ","85-89 years",738,852
" ","90-94 years",216,312
" ","95-99 years",42,90
" ","100 years and over",3,15
" ","Less than 1 year",822,597
" ","1 year",72,60
" ","2 years",45,27
" ","3 years",30,24
" ","4 years",21,12
" ","5 years",24,15
" ","6 years",15,12
" ","7 years",24,6
" ","8 years",9,12
" ","9 years",18,6
" ","10 years",12,9
" ","11 years",6,9
" ","12 years",12,15
" ","13 years",12,9
" ","14 years",9,15
" ","15 years",21,12
" ","16 years",15,9
" ","17 years",33,6
" ","18 years",30,12
" ","19 years",21,12
" ","20 years",33,12
