"Deaths by age and sex (Annual-Dec)","","",""
"","","Male","Female"
" ","56 years",126,84
" ","57 years",138,90
" ","58 years",144,105
" ","59 years",162,123
" ","60 years",171,129
" ","61 years",174,108
" ","62 years",195,108
" ","63 years",192,129
" ","64 years",222,129
" ","65 years",213,153
" ","66 years",273,159
" ","67 years",282,189
" ","68 years",321,168
" ","69 years",336,219
" ","70 years",348,240
" ","71 years",375,237
" ","72 years",360,228
" ","73 years",396,261
" ","74 years",405,276
" ","75 years",405,336
" ","76 years",450,342
" ","77 years",423,354
" ","78 years",414,399
" ","79 years",405,351
" ","80 years",411,357
" ","81 years",402,447
" ","82 years",408,456
" ","83 years",366,456
" ","84 years",372,471
" ","85 years",360,468
" ","86 years",303,420
" ","87 years",306,462
" ","88 years",237,396
" ","89 years",207,396
" ","90 years",168,372
" ","91 years",162,318
" ","92 years",138,261
" ","93 years",96,225
" ","94 years",72,186
" ","95 years",63,180
" ","96 years",42,129
" ","97 years",33,99
" ","98 years",18,60
" ","99 years",12,27
" ","100 years and over",12,108
" ","Median age at death",73.8,79.9
1999,"Total all ages",14274,13848
" ","Neonatal",93,69
" ","Post-neonatal",96,57
" ","Infant",192,126
" ","1-4 years",42,33
" ","5-9 years",27,15
" ","10-14 years",36,30
" ","15-19 years",123,75
" ","20-24 years",159,60
" ","25-29 years",180,60
" ","30-34 years",168,87
" ","35-39 years",216,126
" ","40-44 years",252,198
" ","45-49 years",360,249
" ","50-54 years",525,357
" ","55-59 years",744,483
" ","60-64 years",984,642
" ","65-69 years",1335,918
" ","70-74 years",1986,1350
" ","75-79 years",2382,1890
" ","80-84 years",2058,2253
" ","85-89 years",1572,2499
" ","90-94 years",723,1659
" ","95-99 years",177,594
" ","100 years and over",27,141
" ","Less than 1 year",189,126
" ","1 year",18,6
" ","2 years",6,9
" ","3 years",12,6
" ","4 years",9,6
" ","5 years",6,3
" ","6 years",3,3
" ","7 years",6,3
" ","8 years",3,6
" ","9 years",3,3
" ","10 years",3,3
" ","11 years",9,3
" ","12 years",3,3
" ","13 years",9,3
" ","14 years",15,15
" ","15 years",12,12
" ","16 years",21,15
" ","17 years",24,12
" ","18 years",42,9
" ","19 years",30,27
" ","20 years",36,9
" ","21 years",33,9
" ","22 years",30,15
" ","23 years",33,15
" ","24 years",27,9
" ","25 years",45,12
" ","26 years",36,12
" ","27 years",36,12
" ","28 years",33,9
" ","29 years",33,15
" ","30 years",33,18
" ","31 years",27,18
" ","32 years",33,12
" ","33 years",36,18
" ","34 years",42,21
" ","35 years",36,21
" ","36 years",45,24
" ","37 years",45,27
" ","38 years",45,30
" ","39 years",48,27
" ","40 years",36,39
" ","41 years",51,39
" ","42 years",42,33
" ","43 years",54,42
" ","44 years",69,42
" ","45 years",54,36
" ","46 years",72,48
" ","47 years",84,45
" ","48 years",78,54
" ","49 years",75,66
" ","50 years",87,66
" ","51 years",96,66
" ","52 years",123,87
" ","53 years",108,60
" ","54 years",108,78
" ","55 years",129,87
" ","56 years",129,99
" ","57 years",141,84
" ","58 years",156,111
" ","59 years",186,102
" ","60 years",150,111
" ","61 years",189,129
" ","62 years",186,138
" ","63 years",204,135
" ","64 years",252,129
" ","65 years",213,174
" ","66 years",249,156
" ","67 years",270,162
" ","68 years",285,204
" ","69 years",309,222
" ","70 years",342,216
" ","71 years",360,270
" ","72 years",408,279
" ","73 years",444,267
" ","74 years",432,321
" ","75 years",465,339
" ","76 years",483,348
" ","77 years",465,372
" ","78 years",501,399
" ","79 years",468,432
" ","80 years",390,387
" ","81 years",417,435
" ","82 years",459,447
" ","83 years",429,465
" ","84 years",366,522
" ","85 years",375,549
" ","86 years",348,552
" ","87 years",333,465
" ","88 years",255,516
" ","89 years",261,420
" ","90 years",213,444
" ","91 years",162,375
" ","92 years",156,351
" ","93 years",105,273
" ","94 years",84,225
" ","95 years",60,189
" ","96 years",45,156
" ","97 years",30,99
" ","98 years",24,90
" ","99 years",15,60
" ","100 years and over",27,141
" ","Median age at death",74.5,80.6
2000,"Total all ages",13749,12909
" ","Neonatal",105,96
" ","Post-neonatal",87,60
" ","Infant",192,156
" ","1-4 years",51,36
" ","5-9 years",24,27
" ","10-14 years",45,18
" ","15-19 years",123,45
" ","20-24 years",150,39
" ","25-29 years",165,72
" ","30-34 years",189,78
" ","35-39 years",195,111
" ","40-44 years",264,180
" ","45-49 years",357,252
" ","50-54 years",501,369
" ","55-59 years",660,477
" ","60-64 years",855,606
" ","65-69 years",1335,822
" ","70-74 years",1869,1224
" ","75-79 years",2301,1743
" ","80-84 years",2031,2145
" ","85-89 years",1560,2304
" ","90-94 years",696,1524
" ","95-99 years",177,552
" ","100 years and over",15,120
" ","Less than 1 year",189,156
" ","1 year",15,12
" ","2 years",15,15
" ","3 years",15,3
" ","4 years",9,6
" ","5 years",6,3
" ","6 years",0,6
" ","7 years",3,9
" ","8 years",3,6
" ","9 years",3,6
" ","10 years",6,6
" ","11 years",6,6
" ","12 years",9,3
" ","13 years",9,0
" ","14 years",15,6
" ","15 years",15,6
" ","16 years",21,6
" ","17 years",30,15
" ","18 years",30,6
" ","19 years",27,12
" ","20 years",30,9
" ","21 years",24,6
" ","22 years",30,9
" ","23 years",30,9
" ","24 years",36,9
" ","25 years",39,12
" ","26 years",27,21
" ","27 years",30,15
" ","28 years",36,12
" ","29 years",36,12
" ","30 years",39,15
" ","31 years",30,12
" ","32 years",45,18
" ","33 years",36,18
" ","34 years",39,12
" ","35 years",42,15
" ","36 years",27,21
" ","37 years",45,21
" ","38 years",45,27
" ","39 years",39,27
" ","40 years",54,21
" ","41 years",48,51
" ","42 years",51,30
" ","43 years",54,33
" ","44 years",54,45
" ","45 years",60,42
" ","46 years",72,36
" ","47 years",84,60
" ","48 years",63,57
" ","49 years",81,63
" ","50 years",93,66
" ","51 years",87,66
" ","52 years",96,78
" ","53 years",114,72
" ","54 years",111,90
" ","55 years",108,75
" ","56 years",135,87
" ","57 years",120,96
" ","58 years",123,108
" ","59 years",171,108
" ","60 years",153,114
" ","61 years",183,114
" ","62 years",165,129
" ","63 years",183,120
" ","64 years",168,126
" ","65 years",207,132
" ","66 years",213,135
" ","67 years",267,168
" ","68 years",312,186
" ","69 years",336,198
" ","70 years",333,213
" ","71 years",381,231
" ","72 years",384,216
" ","73 years",384,282
" ","74 years",390,279
" ","75 years",411,297
" ","76 years",444,276
" ","77 years",468,366
" ","78 years",474,402
" ","79 years",504,402
" ","80 years",504,435
" ","81 years",357,378
" ","82 years",402,417
" ","83 years",375,462
" ","84 years",396,456
" ","85 years",369,492
" ","86 years",360,477
" ","87 years",291,468
" ","88 years",288,444
" ","89 years",249,423
" ","90 years",210,393
" ","91 years",168,378
" ","92 years",114,279
" ","93 years",114,258
" ","94 years",90,219
" ","95 years",51,177
" ","96 years",48,141
" ","97 years",33,93
" ","98 years",30,78
" ","99 years",18,63
" ","100 years and over",15,123
" ","Median age at death",74.8,80.5
2001,"Total all ages",13983,13842
" ","Neonatal",81,75
" ","Post-neonatal",96,45
" ","Infant",174,123
" ","1-4 years",39,36
" ","5-9 years",24,27
" ","10-14 years",36,27
" ","15-19 years",132,60
" ","20-24 years",159,48
" ","25-29 years",135,60
" ","30-34 years",183,84
" ","35-39 years",195,111
" ","40-44 years",267,168
" ","45-49 years",312,246
" ","50-54 years",507,384
" ","55-59 years",639,441
" ","60-64 years",930,678
" ","65-69 years",1272,840
" ","70-74 years",1986,1206
" ","75-79 years",2193,1803
" ","80-84 years",2046,2379
" ","85-89 years",1716,2607
" ","90-94 years",837,1731
" ","95-99 years",180,666
" ","100 years and over",24,117
" ","Less than 1 year",174,120
" ","1 year",18,18
" ","2 years",12,9
" ","3 years",6,3
" ","4 years",3,6
" ","5 years",3,9
" ","6 years",6,6
" ","7 years",6,6
" ","8 years",3,3
" ","9 years",0,3
" ","10 years",3,3
" ","11 years",9,6
" ","12 years",9,3
" ","13 years",6,6
" ","14 years",12,6
" ","15 years",12,6
" ","16 years",27,9
" ","17 years",30,18
" ","18 years",27,12
" ","19 years",33,12
" ","20 years",27,6
" ","21 years",36,12
" ","22 years",39,15
" ","23 years",27,9
" ","24 years",30,12
" ","25 years",18,6
" ","26 years",27,12
" ","27 years",30,15
" ","28 years",21,12
" ","29 years",36,15
" ","30 years",33,12
" ","31 years",33,18
" ","32 years",36,27
" ","33 years",39,12
" ","34 years",45,18
" ","35 years",36,18
" ","36 years",30,21
" ","37 years",45,24
" ","38 years",42,30
" ","39 years",39,21
" ","40 years",54,24
" ","41 years",42,39
" ","42 years",39,36
" ","43 years",69,33
" ","44 years",63,39
" ","45 years",51,42
" ","46 years",48,48
" ","47 years",63,51
" ","48 years",69,54
" ","49 years",81,51
" ","50 years",81,63
" ","51 years",102,66
" ","52 years",102,81
" ","53 years",114,87
" ","54 years",105,87
" ","55 years",114,75
" ","56 years",123,84
" ","57 years",114,72
" ","58 years",129,105
" ","59 years",156,102
" ","60 years",165,123
" ","61 years",159,129
" ","62 years",207,141
" ","63 years",195,150
" ","64 years",204,138
" ","65 years",234,138
" ","66 years",204,159
" ","67 years",261,162
" ","68 years",276,180
" ","69 years",297,204
" ","70 years",351,210
" ","71 years",381,192
" ","72 years",408,231
" ","73 years",390,294
" ","74 years",459,282
" ","75 years",450,312
" ","76 years",417,336
" ","77 years",429,360
" ","78 years",411,375
" ","79 years",486,423
" ","80 years",426,441
" ","81 years",435,510
" ","82 years",390,432
" ","83 years",423,453
" ","84 years",369,537
" ","85 years",378,549
" ","86 years",375,531
" ","87 years",372,525
" ","88 years",315,534
" ","89 years",276,471
" ","90 years",234,390
" ","91 years",198,396
" ","92 years",168,378
" ","93 years",132,315
" ","94 years",102,255
" ","95 years",66,192
" ","96 years",45,165
" ","97 years",33,129
" ","98 years",24,105
" ","99 years",12,69
" ","100 years and over",24,117
" ","Median age at death",75.0,81.3
2002,"Total all ages",14022,14043
" ","Neonatal",99,90
" ","Post-neonatal",57,54
" ","Infant",153,144
" ","1-4 years",45,36
" ","5-9 years",27,21
" ","10-14 years",36,21
" ","15-19 years",117,51
" ","20-24 years",135,57
" ","25-29 years",141,66
" ","30-34 years",156,93
" ","35-39 years",207,123
" ","40-44 years",267,177
" ","45-49 years",354,252
" ","50-54 years",513,345
" ","55-59 years",690,492
" ","60-64 years",924,633
" ","65-69 years",1236,804
" ","70-74 years",1815,1260
" ","75-79 years",2256,1836
" ","80-84 years",2151,2307
" ","85-89 years",1767,2616
" ","90-94 years",792,1875
" ","95-99 years",210,702
" ","100 years and over",27,138
" ","Less than 1 year",153,147
" ","1 year",27,21
" ","2 years",0,6
" ","3 years",6,3
" ","4 years",9,3
" ","5 years",3,6
" ","6 years",9,6
" ","7 years",9,3
" ","8 years",3,9
" ","9 years",3,3
" ","10 years",3,3
" ","11 years",6,6
" ","12 years",6,0
" ","13 years",9,6
" ","14 years",12,3
" ","15 years",15,3
" ","16 years",15,12
" ","17 years",24,12
" ","18 years",39,15
" ","19 years",27,12
" ","20 years",30,12
" ","21 years",27,9
" ","22 years",33,9
" ","23 years",21,15
" ","24 years",24,9
" ","25 years",36,9
" ","26 years",27,9
" ","27 years",18,12
" ","28 years",24,24
" ","29 years",36,15
" ","30 years",27,21
" ","31 years",36,15
" ","32 years",27,12
" ","33 years",36,18
" ","34 years",33,27
" ","35 years",27,30
" ","36 years",48,18
" ","37 years",39,15
" ","38 years",48,24
" ","39 years",42,33
" ","40 years",63,36
" ","41 years",45,27
" ","42 years",51,48
" ","43 years",60,30
" ","44 years",48,33
" ","45 years",72,54
" ","46 years",72,36
" ","47 years",60,54
" ","48 years",60,48
" ","49 years",84,60
" ","50 years",75,45
" ","51 years",96,57
" ","52 years",117,72
" ","53 years",99,87
" ","54 years",126,81
" ","55 years",141,99
" ","56 years",117,81
" ","57 years",126,108
" ","58 years",144,108
" ","59 years",162,99
" ","60 years",156,117
" ","61 years",183,138
" ","62 years",189,144
" ","63 years",195,126
" ","64 years",204,111
" ","65 years",210,144
" ","66 years",237,153
" ","67 years",249,165
" ","68 years",261,168
" ","69 years",279,177
" ","70 years",294,201
" ","71 years",348,249
" ","72 years",360,270
" ","73 years",381,273
" ","74 years",432,267
" ","75 years",384,318
" ","76 years",450,327
" ","77 years",489,390
" ","78 years",492,384
" ","79 years",438,414
" ","80 years",486,429
" ","81 years",471,468
" ","82 years",447,468
" ","83 years",369,423
" ","84 years",381,519
" ","85 years",408,519
" ","86 years",363,507
" ","87 years",357,573
" ","88 years",360,549
" ","89 years",276,468
" ","90 years",231,468
" ","91 years",195,417
" ","92 years",129,396
" ","93 years",144,324
" ","94 years",93,267
" ","95 years",84,219
" ","96 years",54,210
" ","97 years",39,126
" ","98 years",21,96
" ","99 years",15,48
" ","100 years and over",30,138
" ","Median age at death",75.5,81.4
2003,"Total all ages",14022,13989
" ","Neonatal",93,69
" ","Post-neonatal",72,42
" ","Infant",165,114
" ","1-4 years",39,39
" ","5-9 years",21,15
" ","10-14 years",39,18
" ","15-19 years",138,75
" ","20-24 years",132,54
" ","25-29 years",129,54
" ","30-34 years",174,87
" ","35-39 years",201,126
" ","40-44 years",279,186
" ","45-49 years",366,267
" ","50-54 years",516,375
" ","55-59 years",693,492
" ","60-64 years",915,621
" ","65-69 years",1185,828
" ","70-74 years",1755,1221
" ","75-79 years",2235,1722
" ","80-84 years",2295,2346
" ","85-89 years",1677,2589
" ","90-94 years",852,1920
" ","95-99 years",195,705
" ","100 years and over",21,132
" ","Less than 1 year",165,111
" ","1 year",12,18
" ","2 years",12,6
" ","3 years",6,6
" ","4 years",6,9
" ","5 years",3,3
" ","6 years",0,6
" ","7 years",9,3
" ","8 years",3,3
" ","9 years",6,0
" ","10 years",0,3
" ","11 years",9,3
" ","12 years",9,3
" ","13 years",9,6
" ","14 years",12,3
" ","15 years",12,9
" ","16 years",30,18
" ","17 years",33,15
" ","18 years",36,18
" ","19 years",30,18
" ","20 years",33,18
" ","21 years",27,15
" ","22 years",27,9
" ","23 years",21,6
" ","24 years",24,9
" ","25 years",27,15
" ","26 years",21,6
" ","27 years",24,12
" ","28 years",27,12
" ","29 years",27,12
" ","30 years",33,15
" ","31 years",24,18
" ","32 years",39,18
" ","33 years",36,12
" ","34 years",39,21
" ","35 years",39,27
" ","36 years",39,24
" ","37 years",39,24
" ","38 years",36,21
" ","39 years",48,36
" ","40 years",63,36
" ","41 years",63,27
" ","42 years",54,36
" ","43 years",51,42
" ","44 years",51,51
" ","45 years",69,48
" ","46 years",69,51
" ","47 years",78,51
" ","48 years",63,57
" ","49 years",84,60
" ","50 years",81,57
" ","51 years",84,63
" ","52 years",96,81
" ","53 years",123,96
" ","54 years",129,81
" ","55 years",126,111
" ","56 years",138,84
" ","57 years",135,87
" ","58 years",123,90
" ","59 years",171,123
" ","60 years",141,99
" ","61 years",180,96
" ","62 years",183,138
" ","63 years",192,132
" ","64 years",219,156
" ","65 years",213,144
" ","66 years",195,153
" ","67 years",237,183
" ","68 years",261,174
" ","69 years",279,180
" ","70 years",321,213
" ","71 years",342,219
" ","72 years",342,255
" ","73 years",372,264
" ","74 years",378,270
" ","75 years",402,276
" ","76 years",471,324
" ","77 years",447,348
" ","78 years",465,396
" ","79 years",447,384
" ","80 years",489,438
" ","81 years",462,483
" ","82 years",489,495
" ","83 years",465,492
" ","84 years",390,441
" ","85 years",345,522
" ","86 years",372,531
" ","87 years",336,504
" ","88 years",327,507
" ","89 years",294,525
" ","90 years",249,477
" ","91 years",201,420
" ","92 years",171,360
" ","93 years",126,348
" ","94 years",102,312
" ","95 years",69,222
" ","96 years",57,183
" ","97 years",27,120
" ","98 years",24,111
" ","99 years",18,75
" ","100 years and over",18,132
" ","Median age at death",75.7,81.5
2004,"Total all ages",14076,14343
" ","Neonatal",93,87
" ","Post-neonatal",75,66
" ","Infant",171,153
" ","1-4 years",36,27
" ","5-9 years",18,15
" ","10-14 years",36,18
" ","15-19 years",129,66
" ","20-24 years",141,48
" ","25-29 years",129,45
" ","30-34 years",123,87
" ","35-39 years",207,129
" ","40-44 years",255,186
" ","45-49 years",387,276
" ","50-54 years",486,387
" ","55-59 years",675,501
" ","60-64 years",894,660
" ","65-69 years",1209,813
" ","70-74 years",1674,1185
" ","75-79 years",2250,1713
