"Estimated Resident Population by Age and Sex (1991+) (Qrtly-Mar/Jun/Sep/Dec)","","",""
"","","As at",""
" "," ","Male","Female"
" ","75-79 Years",51450,58800
" ","80-84 Years",36060,46160
" ","85-89 Years",19520,30480
" ","Under 15 Years",465900,442700
" ","Under 16 Years",497500,472600
" ","Under 18 Years",561500,533300
" ","Under 20 Years",626200,594900
" ","15-39 Years",720500,738700
" ","15-49 Years",1020500,1066700
" ","15-59 Years",1306000,1370000
" ","40-64 Years",703900,755000
" ","15-64 Years",1424300,1493700
" ","15 Years and Over",1715500,1833800
" ","16 Years and Over",1683900,1803900
" ","18 Years and Over",1619900,1743200
" ","20 Years and Over",1555200,1681600
" ","90-94 Years",6400,13690
" ","60 Years and Over",409500,463700
" ","65 Years and Over",291200,340000
" ","75 Years and Over",114600,153000
" ","80 Years and Over",63200,94200
" ","85 Years and Over",27100,48000
" ","90 Years and Over",7590,17550
" ","95 Years and Over",1200,3850
" ","Median Age (Years)",36.4,38.6
" ","Total All Ages",2181400,2276500
"2013Q4","0 Years",30000,28600
" ","1 Years",31710,30350
" ","2 Years",31640,29990
" ","3 Years",32810,31030
" ","4 Years",32880,30890
" ","5 Years",32940,31050
" ","6 Years",32560,30860
" ","7 Years",30430,29400
" ","8 Years",29760,28380
" ","9 Years",29830,28170
" ","10 Years",29590,28180
" ","11 Years",29140,27890
" ","12 Years",30020,29040
" ","13 Years",31750,29810
" ","14 Years",31190,29540
" ","15 Years",31160,29330
" ","16 Years",31690,30250
" ","17 Years",32310,30430
" ","18 Years",32620,30640
" ","19 Years",32100,30760
" ","20 Years",33060,31450
" ","21 Years",32940,31470
" ","22 Years",32830,31840
" ","23 Years",32550,31830
" ","24 Years",30870,30700
" ","25 Years",29740,29970
" ","26 Years",28560,29160
" ","27 Years",27510,28690
" ","28 Years",27120,28670
" ","29 Years",26670,28880
" ","30 Years",26900,28830
" ","31 Years",27050,29110
" ","32 Years",26390,28320
" ","33 Years",26170,28530
" ","34 Years",25860,28380
" ","35 Years",25360,28100
" ","36 Years",25280,27990
" ","37 Years",26170,28350
" ","38 Years",26520,28980
" ","39 Years",27780,30500
" ","40 Years",28510,31730
" ","41 Years",30040,33100
" ","42 Years",30780,34020
" ","43 Years",30420,33770
" ","44 Years",30460,33290
" ","45 Years",30320,33160
" ","46 Years",29640,32330
" ","47 Years",29830,31840
" ","48 Years",29930,31870
" ","49 Years",30560,32810
" ","50 Years",31380,33590
" ","51 Years",31470,33640
" ","52 Years",30860,33030
" ","53 Years",30220,32290
" ","54 Years",28890,30750
" ","55 Years",28420,29780
" ","56 Years",27340,29030
" ","57 Years",27470,28590
" ","58 Years",25870,27530
" ","59 Years",25350,26670
" ","60 Years",24310,25840
" ","61 Years",24140,25490
" ","62 Years",23790,24340
" ","63 Years",23240,24780
" ","64 Years",23240,23830
" ","65 Years",23050,23930
" ","66 Years",23060,24090
" ","67 Years",21290,22040
" ","68 Years",18630,19890
" ","69 Years",17260,18110
" ","70 Years",15700,16610
" ","71 Years",15720,16780
" ","72 Years",15840,17040
" ","73 Years",14990,16220
" ","74 Years",13240,14650
" ","75 Years",12060,13520
" ","76 Years",11130,12830
" ","77 Years",10370,11930
" ","78 Years",9400,10760
" ","79 Years",9070,10470
" ","80 Years",8070,10030
" ","81 Years",7800,9560
" ","82 Years",7420,9350
" ","83 Years",6880,8990
" ","84 Years",6000,8180
" ","85 Years",5330,7530
" ","86 Years",4700,6660
" ","87 Years",3930,6220
" ","88 Years",3250,5480
" ","89 Years",2620,4780
" ","90 Years",2100,3960
" ","91 Years",1580,3370
" ","92 Years",1250,2830
" ","93 Years",990,2330
" ","94 Years",600,1460
" ","0-4 Years",159040,150860
" ","5-9 Years",155520,147860
" ","10-14 Years",151690,144470
" ","15-19 Years",159880,151410
" ","20-24 Years",162250,157300
" ","25-29 Years",139600,145360
" ","30-34 Years",132360,143180
" ","35-39 Years",131100,143930
" ","40-44 Years",150210,165910
" ","45-49 Years",150280,162000
" ","50-54 Years",152820,163300
" ","55-59 Years",134450,141600
" ","60-64 Years",118720,124280
" ","65-69 Years",103290,108070
" ","70-74 Years",75490,81290
" ","75-79 Years",52040,59510
" ","80-84 Years",36160,46100
" ","85-89 Years",19830,30670
" ","Under 15 Years",466200,443200
" ","Under 16 Years",497400,472500
" ","Under 18 Years",561400,533200
" ","Under 20 Years",626100,594600
" ","15-39 Years",725200,741200
" ","15-49 Years",1025700,1069100
" ","15-59 Years",1313000,1374000
" ","40-64 Years",706500,757100
" ","15-64 Years",1431700,1498300
" ","15 Years and Over",1726200,1841700
" ","16 Years and Over",1695100,1812400
" ","18 Years and Over",1631100,1751700
" ","20 Years and Over",1566400,1690300
" ","90-94 Years",6530,13950
" ","60 Years and Over",413300,467700
" ","65 Years and Over",294600,343400
" ","75 Years and Over",115800,154100
" ","80 Years and Over",63700,94600
" ","85 Years and Over",27600,48500
" ","90 Years and Over",7750,17790
" ","95 Years and Over",1220,3840
" ","Median Age (Years)",36.4,38.6
" ","Total All Ages",2192500,2284900
"2014Q1","0 Years",29740,28400
" ","1 Years",31510,30040
" ","2 Years",31560,30050
" ","3 Years",32720,30920
" ","4 Years",32890,31300
" ","5 Years",33120,30660
" ","6 Years",32770,31270
" ","7 Years",31110,29710
" ","8 Years",29750,28600
" ","9 Years",29940,28200
" ","10 Years",29670,28520
" ","11 Years",29470,27880
" ","12 Years",29640,28670
" ","13 Years",31450,29870
" ","14 Years",31730,29980
" ","15 Years",31140,29170
" ","16 Years",31970,30460
" ","17 Years",31970,30350
" ","18 Years",32750,30840
" ","19 Years",32890,31010
" ","20 Years",33260,31280
" ","21 Years",33120,31800
" ","22 Years",33470,31780
" ","23 Years",33310,32470
" ","24 Years",31540,31170
" ","25 Years",30420,30270
" ","26 Years",29200,30090
" ","27 Years",28010,28820
" ","28 Years",27390,28830
" ","29 Years",26940,29190
" ","30 Years",27070,28900
" ","31 Years",27580,29320
" ","32 Years",26570,28680
" ","33 Years",26510,28620
" ","34 Years",26270,28650
" ","35 Years",25560,28300
" ","36 Years",25490,28000
" ","37 Years",26260,28430
" ","38 Years",26240,28630
" ","39 Years",27630,30420
" ","40 Years",28540,31500
" ","41 Years",29760,32940
" ","42 Years",30820,33780
" ","43 Years",30750,34050
" ","44 Years",30500,33390
" ","45 Years",30620,33290
" ","46 Years",29920,32430
" ","47 Years",29680,32100
" ","48 Years",30100,31870
" ","49 Years",30270,32320
" ","50 Years",31260,33250
" ","51 Years",31490,34030
" ","52 Years",31220,33230
" ","53 Years",30370,32390
" ","54 Years",29230,31040
" ","55 Years",28550,30150
" ","56 Years",27680,29210
" ","57 Years",27240,28640
" ","58 Years",26280,27730
" ","59 Years",25430,26870
" ","60 Years",24670,26060
" ","61 Years",24210,25620
" ","62 Years",23770,24630
" ","63 Years",23300,24500
" ","64 Years",23250,24080
" ","65 Years",22970,23760
" ","66 Years",22930,23920
" ","67 Years",22260,23220
" ","68 Years",18940,19970
" ","69 Years",17370,18360
" ","70 Years",16370,17210
" ","71 Years",15110,16180
" ","72 Years",16040,17230
" ","73 Years",15300,16550
" ","74 Years",13440,14730
" ","75 Years",12120,13870
" ","76 Years",11360,12830
" ","77 Years",10400,11990
" ","78 Years",9510,10990
" ","79 Years",9070,10430
" ","80 Years",8210,10000
" ","81 Years",7740,9620
" ","82 Years",7410,9170
" ","83 Years",6940,9050
" ","84 Years",5990,8280
" ","85 Years",5360,7540
" ","86 Years",4730,6700
" ","87 Years",4050,6240
" ","88 Years",3280,5500
" ","89 Years",2690,4890
" ","90 Years",2150,4010
" ","91 Years",1610,3400
" ","92 Years",1300,2860
" ","93 Years",1000,2300
" ","94 Years",660,1610
" ","0-4 Years",158410,150710
" ","5-9 Years",156690,148440
" ","10-14 Years",151970,144910
" ","15-19 Years",160730,151830
" ","20-24 Years",164700,158500
" ","25-29 Years",141950,147200
" ","30-34 Years",134000,144180
" ","35-39 Years",131180,143790
" ","40-44 Years",150380,165650
" ","45-49 Years",150600,162020
" ","50-54 Years",153560,163940
" ","55-59 Years",135180,142600
" ","60-64 Years",119200,124880
" ","65-69 Years",104460,109240
" ","70-74 Years",76270,81890
" ","75-79 Years",52460,60110
" ","80-84 Years",36300,46110
" ","85-89 Years",20110,30870
" ","Under 15 Years",467100,444100
" ","Under 16 Years",498200,473200
" ","Under 18 Years",562200,534100
" ","Under 20 Years",627800,595900
" ","15-39 Years",732600,745500
" ","15-49 Years",1033500,1073200
" ","15-59 Years",1322300,1379700
" ","40-64 Years",708900,759100
" ","15-64 Years",1441500,1504600
" ","15 Years and Over",1739100,1850900
" ","16 Years and Over",1707900,1821700
" ","18 Years and Over",1644000,1760900
" ","20 Years and Over",1578300,1699000
" ","90-94 Years",6720,14180
" ","60 Years and Over",416800,471200
" ","65 Years and Over",297600,346300
" ","75 Years and Over",116800,155100
" ","80 Years and Over",64400,95000
" ","85 Years and Over",28100,48900
" ","90 Years and Over",7970,18060
" ","95 Years and Over",1250,3880
" ","Median Age (Years)",36.4,38.6
" ","Total All Ages",2206100,2295000
"2014Q2","0 Years",30140,28390
" ","1 Years",31010,29510
" ","2 Years",31670,30150
" ","3 Years",32220,30730
" ","4 Years",33110,31460
" ","5 Years",33050,30700
" ","6 Years",32870,31180
" ","7 Years",31670,30150
" ","8 Years",30110,28910
" ","9 Years",29700,28290
" ","10 Years",29960,28540
" ","11 Years",29600,28040
" ","12 Years",29490,28500
" ","13 Years",31050,29630
" ","14 Years",31850,30030
" ","15 Years",31200,29310
" ","16 Years",31920,30230
" ","17 Years",31970,30680
" ","18 Years",32870,30640
" ","19 Years",33320,31180
" ","20 Years",33360,31230
" ","21 Years",33640,31840
" ","22 Years",33500,31610
" ","23 Years",33600,32380
" ","24 Years",32200,31650
" ","25 Years",30780,30410
" ","26 Years",29490,30290
" ","27 Years",28440,29200
" ","28 Years",27720,28990
" ","29 Years",27110,29250
" ","30 Years",27330,29160
" ","31 Years",27460,29310
" ","32 Years",26910,29000
" ","33 Years",26780,28580
" ","34 Years",26290,28590
" ","35 Years",25980,28690
" ","36 Years",25570,27970
" ","37 Years",26230,28390
" ","38 Years",26360,28530
" ","39 Years",27310,30010
" ","40 Years",28540,31360
" ","41 Years",29570,32480
" ","42 Years",30730,33770
" ","43 Years",31110,34380
" ","44 Years",30470,33230
" ","45 Years",30650,33280
" ","46 Years",30230,32750
" ","47 Years",29780,32370
" ","48 Years",29900,31760
" ","49 Years",30200,32010
" ","50 Years",31150,33120
" ","51 Years",31370,33770
" ","52 Years",31440,33490
" ","53 Years",30590,32740
" ","54 Years",29500,31200
" ","55 Years",29070,30670
" ","56 Years",27590,29280
" ","57 Years",27330,28700
" ","58 Years",26590,27920
" ","59 Years",25570,27060
" ","60 Years",24970,26470
" ","61 Years",24110,25470
" ","62 Years",23840,24920
" ","63 Years",23440,24270
" ","64 Years",23170,24370
" ","65 Years",23060,23620
" ","66 Years",22850,23910
" ","67 Years",22790,23730
" ","68 Years",19040,20010
" ","69 Years",17730,18880
" ","70 Years",16930,17690
" ","71 Years",14720,15700
" ","72 Years",16070,17320
" ","73 Years",15350,16700
" ","74 Years",13970,15230
" ","75 Years",12190,13800
" ","76 Years",11440,12930
" ","77 Years",10540,12120
" ","78 Years",9600,11180
" ","79 Years",9020,10380
" ","80 Years",8340,10000
" ","81 Years",7640,9660
" ","82 Years",7360,9070
" ","83 Years",7000,9020
" ","84 Years",5990,8350
" ","85 Years",5440,7510
" ","86 Years",4730,6850
" ","87 Years",4060,6210
" ","88 Years",3300,5470
" ","89 Years",2760,5010
" ","90 Years",2110,4070
" ","91 Years",1710,3370
" ","92 Years",1290,2890
" ","93 Years",970,2270
" ","94 Years",730,1740
" ","0-4 Years",158140,150240
" ","5-9 Years",157400,149230
" ","10-14 Years",151950,144750
" ","15-19 Years",161280,152050
" ","20-24 Years",166300,158700
" ","25-29 Years",143540,148150
" ","30-34 Years",134770,144640
" ","35-39 Years",131450,143590
" ","40-44 Years",150420,165230
" ","45-49 Years",150750,162180
" ","50-54 Years",154040,164320
" ","55-59 Years",136130,143630
" ","60-64 Years",119520,125500
" ","65-69 Years",105470,110140
" ","70-74 Years",77050,82640
" ","75-79 Years",52800,60420
" ","80-84 Years",36330,46110
" ","85-89 Years",20290,31060
" ","Under 15 Years",467500,444200
" ","Under 16 Years",498700,473500
" ","Under 18 Years",562600,534400
" ","Under 20 Years",628800,596300
" ","15-39 Years",737300,747100
" ","15-49 Years",1038500,1074500
" ","15-59 Years",1328700,1382500
" ","40-64 Years",710900,760900
" ","15-64 Years",1448200,1508000
" ","15 Years and Over",1748200,1856600
" ","16 Years and Over",1717000,1827200
" ","18 Years and Over",1653100,1766300
" ","20 Years and Over",1586900,1704500
" ","90-94 Years",6810,14340
" ","60 Years and Over",419500,474100
" ","65 Years and Over",300000,348600
" ","75 Years and Over",117500,155800
" ","80 Years and Over",64700,95400
" ","85 Years and Over",28300,49300
" ","90 Years and Over",8060,18200
" ","95 Years and Over",1250,3860
" ","Median Age (Years)",36.3,38.6
" ","Total All Ages",2215700,2300800
"2014Q3","0 Years",30100,28200
" ","1 Years",30680,29130
" ","2 Years",31650,30180
" ","3 Years",32220,30520
" ","4 Years",33080,31500
" ","5 Years",33050,30890
" ","6 Years",32930,31290
" ","7 Years",32270,30630
" ","8 Years",30380,29110
" ","9 Years",29740,28440
" ","10 Years",30100,28530
" ","11 Years",29680,28170
" ","12 Years",29530,28280
" ","13 Years",30600,29460
" ","14 Years",32030,30010
" ","15 Years",31220,29610
" ","16 Years",31960,30220
" ","17 Years",32130,30630
" ","18 Years",32860,30710
" ","19 Years",33900,31310
" ","20 Years",33560,31250
" ","21 Years",33970,31880
" ","22 Years",34280,31840
" ","23 Years",34040,32590
" ","24 Years",33160,32230
" ","25 Years",31510,30860
" ","26 Years",30360,30840
" ","27 Years",29210,29810
" ","28 Years",27930,29470
" ","29 Years",27890,29390
" ","30 Years",27470,29420
" ","31 Years",27660,29550
" ","32 Years",27350,29210
" ","33 Years",27070,28920
" ","34 Years",26700,28780
" ","35 Years",26390,28690
" ","36 Years",25790,28150
" ","37 Years",26090,28440
" ","38 Years",26550,28430
" ","39 Years",27230,29880
" ","40 Years",28460,30920
" ","41 Years",29100,32300
" ","42 Years",30700,33460
" ","43 Years",31380,34470
" ","44 Years",30540,33570
" ","45 Years",30820,33450
" ","46 Years",30460,32890
" ","47 Years",29920,32430
" ","48 Years",29910,31810
" ","49 Years",30110,31960
" ","50 Years",30980,32740
" ","51 Years",31520,33910
" ","52 Years",31460,33450
" ","53 Years",30810,33110
" ","54 Years",29870,31590
" ","55 Years",29090,30750
" ","56 Years",27950,29540
" ","57 Years",27420,28900
" ","58 Years",26950,28220
" ","59 Years",25680,27370
" ","60 Years",25270,26500
" ","61 Years",24140,25710
" ","62 Years",24040,25050
" ","63 Years",23560,24410
" ","64 Years",23080,24410
" ","65 Years",23180,23680
" ","66 Years",22780,23750
" ","67 Years",22930,23950
" ","68 Years",19740,20650
" ","69 Years",18130,19350
" ","70 Years",16850,17700
" ","71 Years",15050,15980
" ","72 Years",15830,16940
" ","73 Years",15420,16780
" ","74 Years",14340,15640
" ","75 Years",12490,14040
" ","76 Years",11560,13160
" ","77 Years",10520,12260
" ","78 Years",9810,11400
" ","79 Years",9000,10270
" ","80 Years",8490,9990
" ","81 Years",7560,9730
" ","82 Years",7260,9010
" ","83 Years",7010,8940
" ","84 Years",6110,8370
" ","85 Years",5440,7580
" ","86 Years",4720,6760
" ","87 Years",4070,6260
" ","88 Years",3380,5510
" ","89 Years",2730,4840
" ","90 Years",2140,4200
" ","91 Years",1710,3330
" ","92 Years",1270,2920
" ","93 Years",1000,2270
" ","94 Years",740,1850
" ","0-4 Years",157720,149520
" ","5-9 Years",158370,150360
" ","10-14 Years",151950,144460
" ","15-19 Years",162060,152480
" ","20-24 Years",169010,159790
" ","25-29 Years",146890,150370
" ","30-34 Years",136240,145890
" ","35-39 Years",132050,143590
" ","40-44 Years",150180,164720
" ","45-49 Years",151210,162550
" ","50-54 Years",154630,164810
" ","55-59 Years",137070,144770
" ","60-64 Years",120090,126090
" ","65-69 Years",106750,111390
" ","70-74 Years",77510,83040
" ","75-79 Years",53390,61130
" ","80-84 Years",36430,46040
" ","85-89 Years",20340,30940
" ","Under 15 Years",468100,444300
" ","Under 16 Years",499300,473900
" ","Under 18 Years",563400,534800
" ","Under 20 Years",630100,596800
" ","15-39 Years",746300,752100
" ","15-49 Years",1047600,1079400
" ","15-59 Years",1339400,1388900
" ","40-64 Years",713200,762900
" ","15-64 Years",1459400,1515000
" ","15 Years and Over",1762000,1865900
" ","16 Years and Over",1730700,1836300
" ","18 Years and Over",1666700,1775500
" ","20 Years and Over",1599900,1713500
" ","90-94 Years",6870,14560
" ","60 Years and Over",422600,477000
" ","65 Years and Over",302500,350900
" ","75 Years and Over",118300,156500
" ","80 Years and Over",64900,95400
" ","85 Years and Over",28400,49300
" ","90 Years and Over",8100,18370
" ","95 Years and Over",1230,3810
" ","Median Age (Years)",36.2,38.6
" ","Total All Ages",2230000,2310300
"2014Q4","0 Years",30290,28230
" ","1 Years",30240,28840
" ","2 Years",32000,30600
" ","3 Years",31970,30280
" ","4 Years",33040,31320
" ","5 Years",33100,31070
" ","6 Years",33160,31240
" ","7 Years",32690,30990
" ","8 Years",30630,29520
" ","9 Years",30010,28600
" ","10 Years",30010,28360
" ","11 Years",29880,28400
" ","12 Years",29460,28070
