"Estimated Resident Population by Age and Sex (1991+) (Annual-Dec)","","",""
"","","Mean year ended",""
" "," ","Male","Female"
" ","45-49 Years",160240,170160
" ","50-54 Years",156190,164490
" ","55-59 Years",149350,158010
" ","60-64 Years",128380,135580
" ","65-69 Years",114190,118940
" ","70-74 Years",86680,92250
" ","75-79 Years",62410,70840
" ","80-84 Years",37810,46900
" ","85-89 Years",22070,31950
" ","Under 15 Years",481200,455700
" ","Under 16 Years",512400,485500
" ","Under 18 Years",578300,548000
" ","Under 20 Years",644200,610100
" ","15-39 Years",827700,810600
" ","15-49 Years",1135400,1137000
" ","15-59 Years",1440900,1459500
" ","40-64 Years",741600,784400
" ","15-64 Years",1569300,1595000
" ","15 Years and Over",1902100,1976100
" ","16 Years and Over",1870800,1946300
" ","18 Years and Over",1805000,1883800
" ","20 Years and Over",1739100,1821700
" ","90-94 Years",7910,15520
" ","60 Years and Over",461100,516700
" ","65 Years and Over",332700,381100
" ","75 Years and Over",131900,169900
" ","80 Years and Over",69500,99100
" ","85 Years and Over",31600,52200
" ","90 Years and Over",9570,20210
" ","95 Years and Over",1660,4680
" ","Median Age (Years)",35.9,38.3
" ","Total All Ages",2383200,2431800
2018,"0 Years",30530,29000
" ","1 Years",30970,29440
" ","2 Years",31430,29690
" ","3 Years",31870,30000
" ","4 Years",32010,30130
" ","5 Years",33020,31490
" ","6 Years",33420,31800
" ","7 Years",33840,32050
" ","8 Years",34160,32370
" ","9 Years",34170,31810
" ","10 Years",33920,32180
" ","11 Years",32980,31260
" ","12 Years",31560,30060
" ","13 Years",31120,29620
" ","14 Years",31210,29700
" ","15 Years",31550,29580
" ","16 Years",31870,30390
" ","17 Years",33170,31580
" ","18 Years",33430,31590
" ","19 Years",32890,31030
" ","20 Years",34000,31780
" ","21 Years",34650,32130
" ","22 Years",35590,32440
" ","23 Years",36140,33220
" ","24 Years",36540,33730
" ","25 Years",37860,35090
" ","26 Years",38780,36270
" ","27 Years",38620,37470
" ","28 Years",37850,37080
" ","29 Years",36160,36210
" ","30 Years",35500,36160
" ","31 Years",34360,34560
" ","32 Years",33030,33950
" ","33 Years",32250,33500
" ","34 Years",32030,32970
" ","35 Years",31760,32610
" ","36 Years",31120,31890
" ","37 Years",30590,31230
" ","38 Years",30120,31000
" ","39 Years",29400,30570
" ","40 Years",28740,30010
" ","41 Years",28960,30060
" ","42 Years",29060,30040
" ","43 Years",29830,31370
" ","44 Years",30760,32500
" ","45 Years",31950,33570
" ","46 Years",33000,34690
" ","47 Years",32930,34910
" ","48 Years",32330,34000
" ","49 Years",32270,33900
" ","50 Years",31630,33150
" ","51 Years",30980,32470
" ","52 Years",30870,32100
" ","53 Years",31110,32630
" ","54 Years",31810,33410
" ","55 Years",32130,34120
" ","56 Years",31730,33530
" ","57 Years",30790,32800
" ","58 Years",29880,31390
" ","59 Years",29050,30600
" ","60 Years",27970,29660
" ","61 Years",27200,28680
" ","62 Years",26390,27820
" ","63 Years",25500,27150
" ","64 Years",24770,26140
" ","65 Years",24040,25420
" ","66 Years",23580,24550
" ","67 Years",22910,23830
" ","68 Years",22510,23580
" ","69 Years",22200,22870
" ","70 Years",21710,22920
" ","71 Years",21170,22330
" ","72 Years",18180,19290
" ","73 Years",16470,17770
" ","74 Years",15290,16290
" ","75 Years",13690,14920
" ","76 Years",14160,15790
" ","77 Years",13500,15200
" ","78 Years",12100,13840
" ","79 Years",10610,12520
" ","80 Years",9590,11460
" ","81 Years",8560,10480
" ","82 Years",7670,9470
" ","83 Years",7020,8710
" ","84 Years",6320,8180
" ","85 Years",5490,7610
" ","86 Years",5030,6940
" ","87 Years",4590,6560
" ","88 Years",3860,5910
" ","89 Years",3200,5090
" ","90 Years",2570,4310
" ","91 Years",2070,3700
" ","92 Years",1560,3100
" ","93 Years",1180,2550
" ","94 Years",860,2000
" ","0-4 Years",156810,148260
" ","5-9 Years",168610,159520
" ","10-14 Years",160790,152820
" ","15-19 Years",162920,154170
" ","20-24 Years",176920,163300
" ","25-29 Years",189270,182120
" ","30-34 Years",167170,171130
" ","35-39 Years",152980,157310
" ","40-44 Years",147350,153990
" ","45-49 Years",162480,171080
" ","50-54 Years",156390,163760
